date_of_encashment,name_of_political_party,bond_number,denominations
12-Apr-19,BHARATIYA JANATA PARTY,10544,1000000
12-Apr-19,BHARATIYA JANATA PARTY,10549,1000000
12-Apr-19,BHARATIYA JANATA PARTY,10510,1000000
12-Apr-19,BHARATIYA JANATA PARTY,10506,1000000
12-Apr-19,BHARATIYA JANATA PARTY,10508,1000000
12-Apr-19,BHARATIYA JANATA PARTY,10502,1000000
12-Apr-19,BHARATIYA JANATA PARTY,10504,1000000
12-Apr-19,BHARATIYA JANATA PARTY,10528,1000000
12-Apr-19,BHARATIYA JANATA PARTY,10536,1000000
12-Apr-19,BHARATIYA JANATA PARTY,10530,1000000
